	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000565	608.6354189	919.9973188	76.16395998	169.4836824	632.5710278	624.7440428	69.9353788	89.10406352	402.3372873	434.9873318	84.75721977	105.3478107	291.4599801	324.6597053	102.6946882	119.3259695	577.1585736	350.0508589
OG0000589	438.8751894	462.492327	456.6403732	725.8966589	83.65768734	94.16558284	293.9431166	276.0213198	207.1980919	202.8981308	203.8991514	188.3847194	257.8920563	182.168698	155.2306282	156.9889871	105.3294819	207.7195287
OG0000591	233.171998	329.8806029	60.58766815	90.45589949	392.9983971	333.9254488	459.2008458	499.771716	842.6200412	738.7424678	457.9539899	638.5166473	224.0472203	177.1562063	422.2059139	528.7625039	533.4605432	286.3759271
OG0000592	40.06335582	50.56480436	41.35377064	82.36150943	1105.490976	1033.338035	288.8803101	375.6788801	689.9686503	823.7164292	374.0728138	674.2126032	35.39302749	59.11399771	635.7894706	792.1760494	220.8434241	147.6545888
OG0000593	51.04329402	52.51735693	43.47433903	75.55770036	207.2773355	178.5674415	359.5446472	445.5208943	293.744791	268.9730147	218.1348602	269.8426875	157.4749873	181.4724664	393.0496558	444.3454652	267.4389941	389.7015901
OG0000597	413.7298474	463.6282847	21.61016735	25.67828164	108.6442844	162.4989818	93.00075321	105.6301279	166.7332331	163.9659343	74.68271819	76.34686046	77.33964596	56.29904544	59.60729339	57.45719792	63.43654037	62.43806571
OG0000606	84.40754567	95.13479513	51.45171533	68.2877567	147.3403209	148.5211198	112.1540369	120.3625764	141.3535143	144.903697	75.99678361	90.22517842	39.85858788	75.06539392	122.5054127	135.9411182	143.2441798	89.65799682
OG0000607	567.3745964	331.8438343	1683.443351	822.8276863	1212.646495	1571.974798	5064.30052	8478.984085	604.0596028	1233.229827	1079.504745	422.3728133	917.7265042	219.0032868	38.19354915	960.7583822	0	1269.119302
OG0000611	484.8179462	678.2245242	156.2927068	258.3688812	249.1358122	225.2751924	300.0356466	294.1881677	367.4299552	415.6520845	167.9835533	214.4062557	77.90046329	110.9091195	195.0089719	223.0467901	370.0197289	253.8682454
OG0000625	85.70565208	141.8008349	53.71371152	106.4238213	598.9861017	615.3401548	77.04089909	81.28251459	81.7501923	82.5491802	95.70776496	143.7653942	80.69615863	114.8500527	108.0829897	120.6360488	437.3601166	279.6293847
OG0000637	33.94037753	30.6488349	28.22813968	24.3907186	252.5779886	299.4901392	57.27836239	50.75182906	58.56286503	57.50980069	123.9601715	94.4389917	185.0277606	142.9995754	126.8628054	112.3788235	238.064207	221.0469088
OG0000638	404.7466594	388.2078966	347.1769556	231.6134692	638.5426823	668.9912236	110.0370973	114.4592159	288.2065871	246.1952566	358.7376703	409.9767661	466.5538617	534.4674814	282.491217	306.8264114	482.4011958	536.761418
OG0000651	456.8036432	470.4139973	147.4806237	103.9699615	860.2122029	892.7561177	97.99576965	115.9783105	210.089076	196.5332821	782.821624	720.8198568	316.2114639	332.3539082	406.4269068	441.23088	313.6390892	273.7084061
OG0000654	97.07210511	94.05757078	65.45278436	100.7712192	311.1115814	257.1992509	35.06980363	47.24476233	45.33568392	36.50903077	80.3791918	128.6452407	41.9564083	146.5651816	73.92908192	91.02986793	103.3716848	120.1298797
OG0000659	224.3259134	246.7804862	229.4524575	296.5812173	339.2701014	412.1188662	182.9046134	176.6509686	222.2118864	227.1314038	395.971714	340.8231328	116.4989604	126.8605157	93.39352884	87.50644945	193.0387902	305.985285
